GEOID,MEDIAN
42101039100,55.54137421
42101980902,60.36196136
42101980904,60.86109161
42101980903,60.80342865
42101980906,65.68510437
42101980905,65.90722656
42101036700,65.68697357
42101034702,62.47773743
42101034801,65.48145676
42101034802,64.95625305
42101034900,64.91688538
42101035100,61.28062057
42101035200,63.27195358
42101980300,62.13940811
42101035500,65.25907135
42101035800,64.07113647
42101035900,64.27680969
42101036000,65.8827858
42101036100,64.59646225
42101026000,60.88230515
42101027500,57.64497566
42101006500,63.58431244
42101006600,60.71993637
42101006700,62.08437729
42101007200,67.28528595
42101001600,67.25000763
42101001700,67.00592804
42101007300,60.51047707
42101007400,64.90586853
42101001800,67.37475586
42101001900,67.80971146
42101002100,67.92829895
42101002200,68.01041794
42101002400,68.07563019
42101002500,67.04644775
42101002900,67.47344971
42101003100,67.90802765
42101003200,67.57875824
42101003300,63.2772789
42101007800,64.89696503
42101007900,64.40514374
42101008000,64.8100853
42101008200,66.87273407
42101008301,65.14970398
42101003600,64.40489578
42101003701,68.66192245
42101003702,68.32520294
42101003800,68.25083923
42101003901,68.41092682
42101003902,67.8503952
42101004001,68.29299927
42101015300,55.30047226
42101025300,61.85932541
42101035301,62.10657883
42101031900,59.67269516
42101028300,65.60786438
42101008302,67.01691437
42101008400,56.57665253
42101008500,64.35037994
42101009000,64.05262756
42101004002,68.35430145
42101004101,67.98100281
42101011200,65.80406952
42101002300,67.71600342
42101006200,53.85626602
42101032300,64.60357666
42101000600,59.2470665
42101001500,67.40991974
42101009200,65.46090698
42101009300,66.99143982
42101009400,54.93923378
42101009500,60.72352982
42101009600,64.47131348
42101010000,65.23428345
42101010100,65.26314545
42101010200,57.63885117
42101010300,65.32895279
42101010400,63.56213379
42101010500,63.58363914
42101004201,68.04063416
42101028800,65.38679886
42101011700,65.88074493
42101016902,66.81864166
42101001400,67.29871368
42101013200,66.68093491
42101027000,61.57882118
42101028100,65.5725708
42101035302,61.487463
42101002000,67.79973602
42101014300,55.55652618
42101001101,65.20200348
42101027402,65.58321381
42101036502,63.20531464
42101030502,64.2636261
42101031502,65.4233017
42101014600,62.39050293
42101023800,63.13536835
42101010900,66.47087097
42101024800,58.35484123
42101033500,66.12104797
42101007700,65.63647461
42101014000,60.60430908
42101003001,68.27707672
42101002802,68.05728149
42101002701,67.18456268
42101980600,68.08797455
42101036501,64.34069443
42101000801,65.11129761
42101026301,61.7732048
42101029200,60.57618713
42101024400,64.38884735
42101033200,65.95821381
42101980200,60.02283478
42101000200,63.11153412
42101000300,64.05699539
42101026900,63.04776955
42101027100,63.09791756
42101027200,61.43832779
42101027300,64.0117569
42101036201,57.7280426
42101036202,64.35974121
42101027700,58.69164276
42101027800,58.60782242
42101028000,66.10952377
42101027600,58.90060234
42101028200,58.50674248
42101028400,65.24651337
42101028500,65.02033234
42101028600,55.15233994
42101028700,66.75185394
42101029000,63.49687958
42101029300,59.28091812
42101029400,56.87579727
42101036203,63.80564308
42101009801,63.23974419
42101012201,62.15682983
42101007101,64.72009277
42101002801,67.71595001
42101029800,65.21894836
42101029900,63.55432129
42101030100,60.57012558
42101030200,64.16166306
42101030600,65.40364456
42101036301,64.01886749
42101036302,63.47850418
42101036303,62.80686378
42101036400,63.33872223
42101030700,64.06048584
42101030800,61.36718178
42101030900,65.4132309
42101031000,63.37425995
42101031300,66.29223633
42101031600,60.78573227
42101031700,62.93496704
42101031800,64.95682526
42101032000,54.36336517
42101032100,63.69704819
42101032500,63.98309708
42101032600,65.38648224
42101989100,61.89909935
42101032900,65.5642662
42101033000,66.74306488
42101033300,62.32043076
42101033400,65.11472321
42101033800,65.41571045
42101033900,65.41222
42101034000,63.65257072
42101034100,64.14924622
42101034200,60.84004974
42101034400,63.60968208
42101034600,63.69591522
42101034701,62.94103622
42101008602,67.237957
42101009802,65.52312469
42101037500,63.40338898
42101018001,65.04523468
42101011000,62.57735825
42101011100,64.84999084
42101011300,67.73506165
42101011400,66.81188202
42101011500,65.87827301
42101011800,67.75904846
42101011900,66.68437195
42101012000,64.67427444
42101012100,62.84820938
42101013100,64.71444702
42101013500,55.95794296
42101003002,67.67801666
42101031401,66.77948761
42101013401,56.82115936
42101018002,67.2215271
42101013800,55.87470818
42101013900,54.42069626
42101014100,66.22128296
42101035602,65.77444839
42101015101,64.69592667
42101015102,62.87984467
42101009100,56.7573204
42101033600,64.73191833
42101004202,68.26319885
42101016800,63.2576828
42101007000,64.15375137
42101029100,60.40047073
42101980100,60.42154694
42101021300,65.0308075
42101030000,63.63143921
42101013300,64.07129669
42101026100,60.69206238
42101026200,58.97180557
42101026302,62.87447357
42101026400,58.50829887
42101026500,61.67307854
42101026600,62.04212761
42101026700,62.59369278
42101031402,66.47850418
42101016701,62.99453735
42101027901,56.27259827
42101027902,57.47579575
42101008702,65.78626251
42101008101,67.34764862
42101007102,65.81776428
42101008701,66.20136261
42101008102,64.81738663
42101001002,64.44250488
42101037800,62.91768265
42101037600,67.03127289
42101014500,63.75999832
42101031200,65.88200378
42101021800,64.63066864
42101038700,60.67043114
42101038800,60.92723465
42101038900,57.47098541
42101037900,66.55220795
42101038200,62.19911766
42101038000,61.96584892
42101038100,64.46079254
42101001001,65.60098267
42101037300,64.76809692
42101037200,67.44095993
42101038400,61.87056732
42101038600,60.15013123
42101038500,60.75309181
42101025500,61.44447136
42101025600,62.00915527
42101025700,63.66391373
42101025800,59.77025986
42101025900,63.10534859
42101017602,52.1452198
42101017800,60.81891441
42101017900,66.85283661
42101017701,58.09993553
42101035601,65.1348877
42101980400,67.07147598
42101013402,58.54694366
42101013601,54.96779633
42101008801,63.29704666
42101980500,64.00558472
42101015200,62.05187225
42101018300,62.84708023
42101018400,60.47412491
42101019000,64.94380188
42101019100,62.50024033
42101019200,54.97733688
42101019700,67.65408325
42101019800,66.77879333
42101019900,64.62732697
42101020000,64.90388489
42101020200,66.49346924
42101020300,66.98788452
42101020400,66.58996964
42101020500,65.360466
42101020600,62.45240402
42101020800,62.25916672
42101000401,65.35728073
42101034501,63.49840546
42101000901,59.70894432
42101017702,55.42385101
42101005600,65.11750793
42101000500,56.40155029
42101034803,64.58378601
42101006000,57.79177094
42101006100,61.1518116
42101006300,54.58962059
42101006400,62.22908783
42101026800,63.43612862
42101014400,64.78955078
42101036600,59.06576538
42101020900,64.84915924
42101021000,65.58763885
42101021100,64.0510025
42101021200,63.94226837
42101021400,64.67820358
42101021500,64.45740509
42101015600,64.07309341
42101015700,55.98340607
42101015800,60.39317322
42101016100,59.62151146
42101016200,60.84321213
42101016300,61.52552032
42101016400,62.58837509
42101016500,54.24107361
42101016600,54.62104797
42101016002,66.03066254
42101016001,65.94470215
42101039002,64.87927246
42101018801,52.60306549
42101039001,66.27177048
42101004104,68.28050995
42101004103,68.20546722
42101980702,67.43381119
42101989200,64.18387604
42101000102,65.5498848
42101036901,65.09991455
42101001204,67.05572128
42101980001,61.64521408
42101036902,66.54869843
42101020702,62.42832184
42101013702,63.72962952
42101020701,63.065979
42101012502,62.76557541
42101018802,54.19890594
42101014201,64.83840179
42101014202,60.30960083
42101000101,64.75560379
42101980002,61.987957
42101980901,64.37701035
42101000404,63.76963425
42101012501,65.09901428
42101000403,64.01763916
42101000701,65.55877304
42101000805,65.70011139
42101000806,64.62906647
42101989300,63.85582542
42101016901,65.36090088
42101017000,62.73788452
42101017100,66.61775589
42101017202,67.85531235
42101027401,63.81892776
42101020101,65.27144623
42101028901,65.30142212
42101030501,65.74982071
42101016702,59.15629005
42101008802,64.67342377
42101021600,62.40291977
42101021700,64.86456299
42101021900,62.06335449
42101022000,61.11827087
42101023100,60.83783722
42101023500,60.82492256
42101023600,61.36306763
42101023700,61.78490067
42101023900,60.01353073
42101024000,63.78984833
42101024100,63.2602272
42101014900,63.22064972
42101014700,53.0759964
42101014800,52.23540306
42101024200,64.21658325
42101024300,64.6142807
42101024500,62.1122551
42101024600,63.6163044
42101017300,64.10927582
42101017400,63.24072456
42101017500,63.57995033
42101017601,53.56271744
42101024700,60.1617527
42101024900,57.81114006
42101025200,64.23116302
42101025400,59.29085159
42101001203,66.84403992
42101001302,67.14560699
42101013701,63.92529297
42101980003,66.07941818
42101001301,67.6456871
42101000702,66.44060135
42101980701,67.80865479
42101038301,65.65676498
42101035701,66.18863678
42101035702,64.49893951
42101033701,61.32705688
42101033702,63.90906143
42101020102,67.36125183
42101031101,67.06049347
42101031102,65.5414238
42101019502,62.91802216
42101019501,61.03840828
42101028902,64.08069229
42101033101,66.51583862
42101033102,65.91959381
42101031501,65.86204529
42101001102,66.20843124
42101000803,66.16102982
42101017201,66.84417725
42101980800,62.34554863
42101008601,65.54865646
42101037700,59.44536591
42101010700,58.86016464
42101010800,61.86447906
42101010600,64.01841736
42101005400,62.47383881
42101005500,65.62387848
42101012204,59.80966377
42101012203,62.0703907
42101013602,54.37776947
42101034502,63.89310646
42101000902,64.54381561
42101001201,65.56113052
42101002702,66.78579712
